SamplePowers,UniformMixMean,UniformMixStdev,GeneralizedParetoMean,GeneralizedParetoStdev,StableMean,StableStdev,TrimodalNormalMean,TrimodalNormalStdev,NormalMean,NormalStdev,UniformMean,UniformStdev,BetaA0p5B1p5Mean,BetaA0p5B1p5Stdev,BetaA2B0p5Mean,BetaA2B0p5Stdev,BetaA0p5B0p5Mean,BetaA0p5B0p5Stdev
8,0.0505032118801746,0.00595232769541589,3.65276006756563e-05,5.22631448335618e-05,5.05435572568696e-05,6.38546907056603e-05,0.0778102237989916,0.0116163918204371,0.0629192020455768,0.0116351440001616,0.103696877195185,0.00733391927320118,0.0424988843137531,0.0064916045479095,0.0332622537200783,0.0069298453023728,0.0685897728831997,0.0141020072265883
9,0.0271097342969208,0.00288081996013839,1.96299138773993e-06,2.68987110059432e-06,2.57433375251299e-06,3.91275108418133e-06,0.0372892443986892,0.00253762867520456,0.0323249627216334,0.0030771094641609,0.0653644980507733,0.00505410993701728,0.0195440693906784,0.00217452247222293,0.014656882510489,0.00251585643157373,0.0356461005151441,0.0027328719741075
10,0.0138945339572355,0.0014487284745401,4.18302844336208e-07,9.65392995314301e-07,1.71327708712443e-07,1.89320077203831e-07,0.0190082159973223,0.00204122129889301,0.0149857616832798,0.00197276034711403,0.0398681262158418,0.0028143847209839,0.00908948942952037,0.00105168994063513,0.00611097429347506,0.000600740644189552,0.0185760617752804,0.00249549865223157
11,0.00769741589968951,0.0004744602356778,8.37123961910202e-09,1.11780368944123e-08,2.33649512208859e-08,3.30343281717178e-08,0.00989846799476727,0.00122371190150578,0.00792727313192123,0.000979402970948496,0.0230842713183721,0.00165181979192457,0.00509946222621545,0.00054003823021431,0.00323184442284041,0.000313952796488425,0.010311081836065,0.000961836182271976
12,0.00406092559441145,0.000181374164515269,3.46620540057869e-09,4.77590678460569e-09,1.11721211652602e-09,1.79049907230599e-09,0.00537925849163363,0.00054676041055925,0.0037208070817207,0.000521509291497975,0.0142530410897262,0.000725155867461339,0.00254301765789335,0.000182848548785551,0.00161593592301565,9.73837193079784e-05,0.00583380506171205,0.000448978929830771
13,0.00220712423026144,0.000118788146445174,7.91473860837733e-11,1.18870533091903e-10,1.14499338199349e-09,2.72940675989723e-09,0.00275028849735203,0.000398382127520155,0.00189571461182349,0.00017874246353278,0.00921406701127199,0.00033731462114017,0.00133046343375718,0.000126704448358758,0.000849230739364496,6.41964398291295e-05,0.00332303627161652,0.000176786827376695
14,0.00112795417668045,4.30307790417872e-05,1.83712702848429e-11,2.89611966129391e-11,1.64161363681422e-11,2.6078521614881e-11,0.00145253277239704,9.86239482640504e-05,0.000925561061902933,9.42340950847095e-05,0.00579269474748547,0.000207071595081589,0.000754791862580313,5.47043893249186e-05,0.00043375078626076,2.31332529697555e-05,0.00200785603738325,0.000125289438878252
15,0.00060741278365079,2.27980485082671e-05,6.89168698535944e-12,8.7053888877995e-12,9.64899268195783e-12,1.15649615054112e-11,0.000691413360128404,8.35463309693545e-05,0.000489592371887197,4.23228402283813e-05,0.00386752832116078,0.000126967845753168,0.000429488760487745,1.30307765190144e-05,0.000234509790161781,8.89157373145143e-06,0.00118797203831298,2.71431976296251e-05
16,0.000320068347896899,9.09742776716305e-06,1.98434857621723e-13,4.20692827910343e-13,1.09102370984742e-12,3.18891706914689e-12,0.000365057662600611,3.30972658351617e-05,0.000231286444889524,2.57268081041559e-05,0.00246411596759129,4.41919446043093e-05,0.000239584374569227,9.69133334257614e-06,0.000128962630596777,5.51853952856728e-06,0.000725562670017726,3.36887984864773e-05
17,0.000167747912628465,3.78753953358678e-06,1.01921299347225e-13,1.44990099510114e-13,6.18072672974216e-14,6.8939046783171e-14,0.000180948042793016,1.35755034571901e-05,0.000116462145062063,9.19134880196474e-06,0.00166912396079045,3.65910572236252e-05,0.000137674531643371,3.44818168099992e-06,6.94109908398318e-05,2.34865224392691e-06,0.000444882909516313,1.01037405142727e-05
18,8.58856723984785e-05,2.03397274969678e-06,3.37786128052531e-14,5.027333746103e-14,2.62613645722891e-14,5.01206481206395e-14,9.19232541580699e-05,5.39004361414295e-06,5.78374029719033e-05,4.34595941796769e-06,0.00108763847430525,2.32615463021631e-05,7.916398922897e-05,1.86495738433335e-06,3.8205019287197e-05,8.92728892587802e-07,0.000276045343516422,6.62153764542472e-06
19,4.47008964493326e-05,6.93392789343585e-07,4.46391348035498e-15,1.30113942476107e-14,2.32590904963786e-15,4.3026757147013e-15,4.44685148696989e-05,3.64920508791296e-06,2.73225499948377e-05,1.69327141469383e-06,0.000721683755944141,1.35441470107316e-05,4.72257437260932e-05,1.71026072550022e-06,2.13465686022247e-05,4.68560825134981e-07,0.000174784664562325,2.71128544524208e-06
20,2.27449603223883e-05,2.72993054294308e-07,1.68027745158383e-16,2.05490418079412e-16,2.3680052263886e-16,3.17991996909957e-16,2.2066971102313e-05,1.45646971202483e-06,1.34650159581796e-05,9.84553251482453e-07,0.000481114177935106,8.11567506875312e-06,2.73860858546915e-05,4.74741042983159e-07,1.1763911246395e-05,1.09459192799171e-07,0.000109869139971659,1.89944157727375e-06
